name,level,job,inki,guild
오지환,291,키네시스,28273,Fairplay
꽃단솜,291,윈드브레이커,2091,봄연
태주,290,듀얼블레이더,7930,사랑
느껴,289,팬텀,32085,훈장교
로맨틱,289,비숍,0,BOSS
보마노랑이,289,보우마스터,55556,달치즈
뚜낵,288,아크,2611,여백
식초,288,듀얼블레이더,81000,생글
솝상,288,비숍,1350,생글
테룽이,288,카이저,983,프라하
주녀깡,288,듀얼블레이더,1807,Temptation
케인WWE챔프,287,배틀메이지,15035,루밍
쫙구,287,듀얼블레이더,285,아오지
주환,287,제논,694,보스2
쀼댁,287,제로,53307,루나
무수,287,데몬슬레이어,3271,Lunes
현배쓰,287,소울마스터,1298,똑똑
시바개시바개,287,아란,4271,아름다움
피거,287,와일드헌터,14163,생글
ifthenelse,287,메르세데스,223,Ellui
Baddy,287,메카닉,6752,히히
디얀,287,비숍,7503,똑똑
헨큭,287,아델,315,흰눈
승준유,287,팬텀,433,SiniSter
Chaos,287,키네시스,17184,허니
쁠이블,286,듀얼블레이더,1166,반하나
혜넹,286,일리움,3565,프라하
번개의신vv,286,보우마스터,21324,북극성
걸경스,286,아크,1290,레드라벨
보나냥냥,286,제논,9485,유리
Ring,286,아크,4679,사랑
쩌네이런,286,듀얼블레이더,3568,Aura
꾸준,286,스트라이커,11880,아르테미스
레드빛연필,286,팔라딘,336,레전드
금수저광부다,286,키네시스,2870,세움
읍술,286,소울마스터,333,당돌
몽둥이여사님,286,비숍,2018,자장가
가람,286,소울마스터,99999,찌찌찌
히나,286,제로,5600,Post
네가잘못햇어,286,제논,1527,훈장교
한계,286,나이트로드,9305,Waltz
먹음쟁이,286,키네시스,1651,바다
둘둘치킨,286,은월,612,욘석들
땃미,286,소울마스터,3984,생글
열정시민,286,히어로,1585,은하
누라리한,286,제로,1870,푸르내
사탄이,286,플레임위자드,7585,소원
드쳬,285,팬텀,3546,여백
학살자펭귄,285,캡틴,6109,피너
대박아란,285,아란,2617,독종
리와와,285,와일드헌터,6024,Woden
더스크,285,메르세데스,5351,팡이랜드
노란비서,285,호영,346,Star
꼬마아이,285,에반,6348,극딜
Harb,285,나이트로드,2491,생글
떵이덕꿍,285,듀얼블레이더,2014,순애
난파,285,아델,4403,티어
세누,285,루미너스,8502,연인
작반,285,팬텀,5613,Woden
장난아니구마,285,보우마스터,4448,Woden
221313,285,나이트로드,242,루루
암거그,285,아란,722,모델
알샤,285,나이트로드,2250,헤로인
김듀빛,285,듀얼블레이더,1299,사랑
왁구님,285,키네시스,1984,훈장교
훅지른캐릭Il,285,다크나이트,11223,해월
화놋이,285,아크메이지(불독),346,딸기우유
신궁,285,신궁,1548,--없음--
벅뀌,285,엔젤릭버스터,1531,BOSS
은평구바이퍼,285,바이퍼,4109,소풍
더끔더끔더끔,285,아란,371,송이
우향,285,듀얼블레이더,99999,제리
9일간의휴가,285,아크메이지(썬콜),98,감귤패밀리
온논노,285,카이저,239,말랑말랑
색칠한별,285,카데나,196,Dream
skfh,285,나이트로드,19565,사랑
시들어가는날,285,히어로,4616,LUSH
템혈,285,윈드브레이커,13839,퍄퍄
지봉이,285,나이트워커,16878,Melody
Field,285,아크메이지(불독),1304,티어
x법사들행진x,285,아크메이지(불독),35105,극딜
꼬이지,285,호영,4540,시원
낌유,285,비숍,1127,디즈니
어서,285,신궁,3859,뒤에서
깽키,285,카이저,2380,Fairplay
쌍초늬,285,에반,788,Aura
요즘난,285,아란,793,사랑니
사파,285,윈드브레이커,3274,Temptation
뎅아인,285,에반,14984,치쯔
아기자세,285,듀얼블레이더,3789,고수time
주피터king,285,나이트로드,19898,모여
갠갈,285,듀얼블레이더,10439,갱이와
빅도퍼,285,아크메이지(불독),1053,--없음--
밍울s,285,데몬어벤져,2822,떨림
그건아,285,은월,1185,순하리
hs푸른하늘sh,285,다크나이트,7960,님본
쿵찌리,285,팔라딘,2854,훈장교
군규,285,나이트로드,47464,Case
손준민,285,나이트로드,2482,키즈
FJM키네,285,키네시스,1097,슈프림
깜댕,285,데몬슬레이어,31250,사랑
달달,285,보우마스터,3944,ISSUE
로한트,285,팔라딘,430,Star
별을쏜난쟁이,285,윈드브레이커,511,유리
꼬마Prime,285,스트라이커,308,--없음--
Bisu,285,섀도어,729,손짓
포텐,285,신궁,2744,Abyss
송은,285,와일드헌터,3130,디즈니
TOPXenonSoon,285,제논,21878,그루터기_D
김솔밤,285,다크나이트,681,Real
쁘누,285,아크메이지(불독),737,Temptation
어썰트,285,듀얼블레이더,14766,루나
러빙모카,285,카인,341,Clue
떼일리룩,285,패스파인더,10758,라이
민기송,285,나이트로드,1736,키즈
광부노답센세,285,아크메이지(불독),342,Aura
곤주,285,아크메이지(불독),1166,해피
도감은월,285,은월,8339,다소
우락키네,285,키네시스,17563,B9105
언쓰,285,아크메이지(불독),2000,똑똑
궁수여니,285,패스파인더,4464,코델리아
행규쓰,284,아크메이지(불독),720,요한
바비만두,284,호영,1702,로안
갱이,284,배틀메이지,171,Camellia
하두좋은식품,284,윈드브레이커,214,댓글
겨밍현이,284,패스파인더,7201,그루터기_D
빼주현,284,듀얼블레이더,5632,Class
Suki,284,아크메이지(불독),6536,훈장교
소진02,284,아크메이지(썬콜),121,Camellia
흰색말띠,284,은월,228,허니
스카,284,히어로,99997,--없음--
쩝법사21세,284,배틀메이지,4050,밤편지
소설랑,284,제로,5216,르꼬끄
루나썬콜,284,아크메이지(썬콜),693,MyStage
갈갈패,284,보우마스터,32793,티어
별뮤직,284,키네시스,22860,삼천
수호신,284,나이트로드,802,soso
별뱌,284,비숍,7390,정신력
도치,284,듀얼블레이더,1422,캔디
김서련,284,아크메이지(불독),3511,키즈
지옥문입구컷,284,팬텀,646,피너
흑화윈,284,아델,304,님본
초딩연,284,윈드브레이커,1100,Woden
Aran시우,284,아란,2806,아담
돈워리비해피,284,아델,212,수피아
시눙식,284,호영,6631,GAZUA
주디아가,284,메르세데스,44922,훈장교
밍요링,284,아크메이지(불독),3767,여백
사흘만한다여,284,듀얼블레이더,1127,Aria
냐무마,284,아델,195,훈장교
흰반죽,284,스트라이커,6186,illy
사랑파이브,284,히어로,6362,고수회_D
츄머,284,비숍,10688,애플
새화,284,은월,965,훈장교
경기제논,284,제논,15396,트리플크라운_E
사국적,284,윈드브레이커,5815,천년낙화
아이코쿠마,284,아크메이지(불독),88152,CoPys
ARCHIHY,284,섀도어,1026,리넘
아침은코코아,284,듀얼블레이더,2058,레전드
뱐케,284,아크메이지(썬콜),5162,비모
졸딕,284,와일드헌터,8761,Class
초코빵내꺼야,284,카데나,800,Woden
향뚱미,284,아델,931,피너
Meeting,284,아크,1258,아랑
미스터짹,284,듀얼블레이더,786,사랑
휴씨엔버,284,엔젤릭버스터,1543,티어
쪼코탱,284,아델,265,청린
서앤크,284,미하일,549,1004
첫고백,284,일리움,757,뭉클
성조회기사단,284,히어로,2237,TestA021
우긔,284,듀얼블레이더,1295,여백
야구갤,284,아크,1098,코야
정의,284,섀도어,840,디즈니
주머쿵,284,호영,5742,--없음--
멍믹,284,아델,1167,Case
연히의,284,나이트로드,234,아랑
바다일리아,284,팬텀,9186,작은인연
헬창곽,284,아델,9536,황혼
쫑쫑종옹,284,나이트로드,148,화양
한송우,284,나이트로드,1206,불빛
Iedy,284,엔젤릭버스터,1244,Flame
게뎁,284,일리움,1060,소풍
인생디,284,호영,262,불빛
zero쳇,284,제로,1770,로안
년색,284,엔젤릭버스터,1395,사람
판냐잉,284,패스파인더,841,Aura
협이,283,나이트로드,10770,Well
코세,283,데몬슬레이어,5238,똑똑
은은rnfma,283,비숍,67,꽃길
로이아z,283,아크,210,TheQuBic
뮤끈,283,패스파인더,1175,욘석들
뚝닭,283,팬텀,1578,욘석들
워녕,283,아크메이지(불독),2417,키즈
캡존탁,283,아크,3353,루어
잇소,283,아크,4734,똑똑
라그눅,283,호영,1328,렌즈
애에애쉬,283,패스파인더,478,스타
wjfnena,283,제논,1593,ComForTable_D
바그나,283,듀얼블레이더,1507,BOSS
구카,283,은월,13484,루루
람당,283,아델,421,왕국
스크롤,283,아크메이지(불독),76922,디즈니
o우르키오라o,283,은월,1027,에우로파
5ave,283,아크메이지(썬콜),4236,키즈
듀단델,283,아델,56,팡이랜드
병국,283,데몬슬레이어,92317,뉴프랜
밍잇,283,비숍,16621,훈장교
영왕,283,듀얼블레이더,2536,디즈니
아루상,283,팔라딘,3826,백선
천상천하주먹,283,바이퍼,49,아리수_C
깅치민,283,루미너스,138,뷰티풀지구
윈드차련,283,윈드브레이커,2155,잔나
여비서,283,비숍,913,꽃나래
AdeIe,283,아크메이지(불독),5585,루루
프랜스루시,283,제논,58368,잠재
아로롱,283,캡틴,7335,바다
Feta,283,루미너스,437,키즈
FJM에반,283,에반,2776,슈프림
윈부월,283,윈드브레이커,50,티어
전투,283,보우마스터,4284,연인
아왕,283,호영,13997,하주
글죠,283,섀도어,147,단순
피느님,283,데몬슬레이어,15068,하얀구름
Kiss예진,283,아델,1174,설레
킹미곤,283,메카닉,1090,엘리스
시기S,283,듀얼블레이더,427,허니
쳇쳇o,283,아델,622,--없음--
빈돌,283,캐논마스터,1898,아루
장꾸델,283,아델,415,ISSUE
황소고집6,283,키네시스,10128,성난황소
나로후닝,283,나이트로드,381,사랑
경처리,283,아델,396,여백
메어,283,팬텀,3667,늙은밤
량이,283,팬텀,15325,Case
룩팸,283,비숍,616,Temptation
진격캐넌,283,캐논마스터,13215,욘석들
리릭아델,283,아델,431,Case
혈성,283,데몬어벤져,2718,프리지아
비올팬,283,팬텀,8739,Woden
가음,283,메르세데스,2701,--없음--
S성빈,283,듀얼블레이더,12337,치즈
타투한순둥이,283,캐논마스터,6386,Temptation
똑넝,283,나이트로드,315,생글
린텍바니,283,듀얼블레이더,6242,트리플크라운_E
백말창,283,나이트로드,5619,욘석들
재소이,283,비숍,78365,욘석들
토햐,283,비숍,4205,사랑
구슬농장,283,히어로,1247,6780_D
쓰에밍,283,보우마스터,15241,개굴
인빵하,283,아크메이지(불독),27934,길냥이들
알콜중독,283,키네시스,5893,쥬륵
하루달호,283,호영,3267,달아
리스,283,아크메이지(불독),2105,생글
라뮤에뜨아델,283,아델,201,뿔버섯
대걸,283,듀얼블레이더,2721,보스2
달빛카인a,283,카인,6909,사랑
포드,283,팬텀,1023,피너
FleetAdmiral,283,제로,4499,뉴프랜
배고픈제리33,283,섀도어,444,BOSS
민법,283,데몬슬레이어,1194,Lavender
퓨래,283,듀얼블레이더,978,--없음--
살v살,283,스트라이커,2317,야경
산령포효,283,호영,258,바람
김도희,283,루미너스,101,삐삐단
차디,283,엔젤릭버스터,6079,이쪽
쌀래,283,아크메이지(불독),5124,생글
엠유링,283,은월,9934,유대
생교과,283,제로,6931,아르테미스
쿵쿵달려,283,카데나,1132,유리
감정폭주,283,아크,41033,고수time
스공,283,아크메이지(불독),1792,순애
필리핀안성일,283,아란,1293,분필
우민,283,아크메이지(불독),99999,블랙
안수야,283,아델,1460,여백
채껏,283,플레임위자드,228,포크
라쇼님,283,듀얼블레이더,1310,바다
곁으로갈게,283,나이트로드,80,티어
빅시커,283,엔젤릭버스터,608,허니
도철떤,283,호영,800,프라하
혀늬발,283,캐논마스터,3915,극딜
상사,283,듀얼블레이더,149,--없음--
물법,283,듀얼블레이더,259,욘석들
흣챠,283,와일드헌터,3886,coco
굿폴드,283,패스파인더,495,그루터기_D
ASperDragon,283,다크나이트,1961,Save
Moist,283,듀얼블레이더,396,훈장교
홍디나로,283,듀얼블레이더,1004,순애
August,283,카이저,-145,SiniSter
문끙,283,나이트로드,1493,하리보
메루져아,283,메르세데스,274,블루문
갠림,283,루미너스,660,자라
추메,283,듀얼블레이더,2019,뒤에서
지엔,283,제논,868,똑똑
집은있어요,283,데몬슬레이어,1534,생글
붉다,283,제로,7337,잠재
콩잡는비숍,283,비숍,13385,아르테미스
댕기,283,아크,1777,Fairplay
Ensillia,283,메카닉,4555,그루터기_D
소먕,283,아크메이지(썬콜),2902,--없음--
햐당,283,윈드브레이커,389,그루터기_D
오늘처음처럼,283,루미너스,292,훈장교
심겜,282,키네시스,94668,루나
늘인,282,데몬어벤져,350,Aura
베르토드,282,나이트로드,1657,티어
kwon바이퍼,282,바이퍼,2810,단풍들
별룬하,282,나이트워커,1908,바리스타
찡글,282,섀도어,3764,즈즈
환타,282,나이트로드,7448,WeRule
늘은세,282,아델,829,피너
쪽오,282,듀얼블레이더,1023,고요미
밍밍왁왁,282,나이트로드,867,화성
은교혜교,282,메카닉,679,똑똑
꼬당,282,비숍,2046,LuMinouS
영욕,282,패스파인더,1219,설레
사키웅,282,듀얼블레이더,768,욘석들
리토잉,282,에반,1801,경국지색
Crispy,282,나이트로드,514,프로포즈
팬텀을키우까,282,팬텀,248,고수time
Somedays,282,데몬슬레이어,3350,Someday
뽀민,282,다크나이트,4904,Dream
